junction_id,inc_lanes,int_lanes,stake_number,route_direction,route_code,section_code
-44477,-7566_0 -7566_1,:-44477_0_0 :-44477_0_1,0.000,upstream,G5,G5京昆高速公路绵广沙陵段
-32164,-16964_0 -16964_1,:-32164_0_0 :-32164_1_0 :-32164_1_1,0.000,upstream,G5,G0005002
-35319,-8402_0 -8402_1 -8402_2,:-35319_0_0 :-35319_0_1 :-35319_0_2,0.000,upstream,G5,G0005008
-44385,-6984_0 -6984_1,:-44385_0_0 :-44385_0_1,0.000,upstream,G5,G0005007
-27155,-1056_0 -1056_1,:-27155_0_0 :-27155_1_0 :-27155_1_1,0.000,upstream,G5,G5京昆高速（泸黄段）
-34563,-8266_0 -8266_1,:-34563_0_0 :-34563_0_1,0.000,upstream,G5,G0005009
-65432,-15444_0 -15444_1,:-65432_0_0 :-65432_0_1,0.000,upstream,G5,G0005007
-41931,-6102_0 -6102_1,:-41931_0_0 :-41931_0_1,0.000,upstream,G5,G0005002
-27191,-3246_0 -3246_1,:-27191_0_0 :-27191_0_1,0.000,upstream,G5,G0005005
-29468,-1752_0 -1752_1,:-29468_0_0 :-29468_0_1,0.000,upstream,G5,G0005003
-41033,-6842_0 -6842_1,:-41033_0_0 :-41033_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-41763,-6034_0 -6034_1,:-41763_0_0 :-41763_0_1,0.000,upstream,G5,G0005007
-41240,-13654_0 -13654_1 -13654_2 -13654_3,:-41240_0_0 :-41240_0_1 :-41240_0_2 :-41240_0_3,0.000,upstream,G5,G5京昆高速（成绵段）
-59733,-13138_0 -13138_1,:-59733_0_0 :-59733_0_1,0.000,upstream,G5,G0005008
-35040,-7356_0 -7356_1,:-35040_0_0 :-35040_0_1,0.000,upstream,G5,G0005006
-41757,-10686_0 -10686_1,:-41757_0_0 :-41757_0_1,0.000,upstream,G5,G0005007
-41322,-5878_0 -5878_1,:-41322_0_0 :-41322_0_1,0.000,upstream,G5,G0005009
-29504,-2486_0 -2486_1,:-29504_0_0 :-29504_0_1,0.000,upstream,G5,G0005003
-41896,-6080_0 -6080_1,:-41896_0_0 :-41896_0_1,0.000,upstream,G5,G0005003
-35224,-10696_0 -10696_1 -10696_2,:-35224_0_0 :-35224_0_1 :-35224_0_2,0.000,upstream,G5,G0005006
-35218,-3654_0 -3654_1,:-35218_0_0 :-35218_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-25628,-636_0 -636_1 -636_2,:-25628_0_0 :-25628_0_1 :-25628_0_2,0.000,upstream,G5,G0005005
-35188,-4136_0 -4136_1 -4136_2,:-35188_0_0 :-35188_0_1 :-35188_0_2 :-35188_3_0 :-35188_3_1 :-35188_3_2,0.000,upstream,G5,G0005006
-40276,-5508_0 -5508_1,:-40276_0_0 :-40276_0_1,0.000,upstream,G5,G0005009
2390028715,-4000000021_0 -4000000021_1,:2390028715_0_0 :2390028715_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
2390028716,-4000000048_0 -4000000048_1,:2390028716_0_0 :2390028716_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
2390028751,-4000000026_0 -4000000026_1,:2390028751_0_0 :2390028751_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
-43222,-10350_0 -10350_1,:-43222_0_0 :-43222_0_1,0.000,upstream,G5,G0005007
-42723,-13482_0 -13482_1,:-42723_0_0 :-42723_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-25541,-11488_0 -11488_1,:-25541_0_0 :-25541_0_1,0.000,upstream,G5,G0005009
-67905,-16930_0 -16930_1,:-67905_0_0 :-67905_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-42582,-9062_0 -9062_1,:-42582_0_0 :-42582_0_1,0.000,upstream,G5,G0005005
-40574,-12362_0 -12362_1,:-40574_0_0 :-40574_1_0 :-40574_1_1,0.000,upstream,G5,G0005006
-33204,-2962_0 -2962_1,:-33204_0_0 :-33204_0_1,0.000,upstream,G5,G0005003
-68921,-17334_0 -17334_1,:-68921_0_0 :-68921_0_1,0.000,upstream,G5,G5京昆高速（泸黄段）
-25422,-588_0 -588_1,:-25422_0_0 :-25422_0_1,0.000,upstream,G5,G0005005
-25395,-584_0 -584_1,:-25395_0_0 :-25395_0_1,0.000,upstream,G5,G0005007
-42249,-13772_0 -13772_1,:-42249_0_0 :-42249_1_0 :-42249_1_1,0.000,upstream,G5,G0005009
-40859,-5724_0 -5724_1,:-40859_0_0 :-40859_0_1,0.000,upstream,G5,G0005007
-36321,-4082_0 -4082_1 -4082_2,:-36321_0_0 :-36321_0_1 :-36321_0_2,0.000,upstream,G5013,G5013001
4062089879,-2000000148_0 -2000000148_1,:4062089879_0_0 :4062089879_0_1,0.000,upstream,G76,G76厦蓉高速（隆纳段）
3544529339,-2000000400_0 -2000000400_1,:3544529339_0_0 :3544529339_0_1,0.000,upstream,G76,G76厦蓉高速（隆纳段）
3538591870,-2000000089_0 -2000000089_1,:3538591870_0_0 :3538591870_0_1,0.000,upstream,G76,G76厦蓉高速（纳黔段）
1931049593,-2000000249_0 -2000000249_1,:1931049593_0_0 :1931049593_0_1,0.000,upstream,G76,G0076001
1931049743,-2000000097_0 -2000000097_1,:1931049743_0_0 :1931049743_0_1,0.000,upstream,G76,G0076001
1931049758,-2000000051_0 -2000000051_1,:1931049758_0_0 :1931049758_0_1,0.000,upstream,G76,G0076001
3976561441,-3000000127_0 -3000000127_1,:3976561441_0_0 :3976561441_0_1,0.000,upstream,G76,G0076001
