toll_station_id,station_name,square_code,route_code,section_code,longitude,latitude,taz_id,entrance_exit,edge_id,junction_id
232,新都北收费站,G00055104401002020,G5,G0005005,104.21906,30.85645,G00055104401002020,entrance,-3414,-30849
14,西康大桥收费站,G00055100501501010,G5,G0005006,102.975354,30.00277,G00055100501501010,entrance,-15520,-65619
14,西康大桥收费站,G00055100501502010,G5,G0005006,102.975787,30.002796,G00055100501502010,entrance,-15520,-65619
391,雅安八步收费站,G00055100600101010,G5,G0005007,102.937232,29.948612,G00055100600101010,entrance,-2810,-32786
391,雅安八步收费站,G00055100600102010,G5,G0005007,102.937693,29.949342,G00055100600102010,entrance,-16668,-48095
392,荥经收费站,G00055100600201010,G5,G0005007,102.86447,29.786128,G00055100600201010,entrance,-5270,-39606
392,荥经收费站,G00055100600202010,G5,G0005007,102.86501,29.785601,G00055100600202010,entrance,-5270,-39606
394,龙苍沟收费站,G00055100600301010,G5,G0005007,102.836972,29.7044,G00055100600301010,entrance,-1778,-29582
394,龙苍沟收费站,G00055100600302010,G5,G0005007,102.837251,29.705079,G00055100600302010,entrance,-1778,-29582
395,九襄收费站,G00055100600401010,G5,G0005007,102.663242,29.480857,G00055100600401010,entrance,-8664,-48755
395,九襄收费站,G00055100600402010,G5,G0005007,102.663887,29.480229,G00055100600402010,entrance,-12506,-56390
396,汉源北收费站,G00055100600501010,G5,G0005007,102.632936,29.37983,G00055100600501010,entrance,-9580,-51234
396,汉源北收费站,G00055100600502010,G5,G0005007,102.632922,29.380848,G00055100600502010,entrance,-10588,-51236
397,汉源南收费站,G00055100600601010,G5,G0005007,102.606727,29.348205,G00055100600601010,entrance,-1888,-29860
397,汉源南收费站,G00055100600602010,G5,G0005007,102.605904,29.34783,G00055100600602010,entrance,-1888,-29860
398,石棉收费站,G00055100600701010,G5,G0005007,102.382841,29.248532,G00055100600701010,entrance,-17440,-69866
398,石棉收费站,G00055100600702010,G5,G0005007,102.382995,29.248017,G00055100600702010,entrance,-7020,-44461
399,栗子坪收费站,G00055100600801010,G5,G0005007,102.303697,29.008794,G00055100600801010,entrance,-13888,-61786
399,栗子坪收费站,G00055100600802010,G5,G0005007,102.303602,29.009433,G00055100600802010,entrance,-13888,-61786
401,孟获城收费站,G00055100601301010,G5,G0005007,102.30995,28.911967,G00055100601301010,entrance,-2404,-31643
401,孟获城收费站,G00055100601302010,G5,G0005007,102.310443,28.91053,G00055100601302010,entrance,-1906,-29905
402,灵山收费站,G00055100601201010,G5,G0005007,102.230803,28.576233,G00055100601201010,entrance,-2306,-31225
402,灵山收费站,G00055100601202010,G5,G0005007,102.230123,28.576097,G00055100601202010,entrance,-4236,-26838
403,彝海收费站,G00055100600901010,G5,G0005007,102.253372,28.764646,G00055100600901010,entrance,-10144,-52445
403,彝海收费站,G00055100600902010,G5,G0005007,102.253993,28.763426,G00055100600902010,entrance,-4226,-36674
404,冕宁收费站,G00055100601001010,G5,G0005007,102.21591,28.556482,G00055100601001010,entrance,-824,-26303
404,冕宁收费站,G00055100601002010,G5,G0005007,102.216306,28.557362,G00055100601002010,entrance,-4874,-26304
248,马道收费站,G00055100700701010,G5,G0005008,102.206507,27.854415,G00055100700701010,entrance,-4462,-37262
248,马道收费站,G00055100700702010,G5,G0005008,102.206507,27.854415,G00055100700702010,entrance,-4462,-37262
350,泸沽收费站,G00055100700101010,G5,G0005008,102.186474,28.303915,G00055100700101010,entrance,-6340,-42574
350,泸沽收费站,G00055100700102010,G5,G0005008,102.186003,28.303873,G00055100700102010,entrance,-1486,-28452
351,漫水湾收费站,G00055100700201010,G5,G0005008,102.169004,28.219871,G00055100700201010,entrance,-14536,-63348
351,漫水湾收费站,G00055100700202010,G5,G0005008,102.168814,28.219912,G00055100700202010,entrance,-14536,-63348
352,礼州收费站,G00055100700301010,G5,G0005008,102.171088,28.048876,G00055100700301010,entrance,-4726,-38077
352,礼州收费站,G00055100700302010,G5,G0005008,102.171083,28.048757,G00055100700302010,entrance,-4726,-38077
353,西昌北收费站,G00055100700401010,G5,G0005008,102.185998,27.967158,G00055100700401010,entrance,-6200,-42182
353,西昌北收费站,G00055100700402010,G5,G0005008,102.185993,27.966991,G00055100700402010,entrance,-6200,-42182
