id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
84,14709,交通事故,2025-08-15 22:51:45,2025-08-16 00:56:40,1707.0,成都至绵阳方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,管制入口所有车辆,上行,-44436,-630,,,2025-08-15 22:53:00,,"211,212",,"【交通事故首报】2025/8/15 22:51:45,接李芳报：京昆高速成绵段成都至绵阳方向K1707+000发生一起两车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,路维到场处置管制入口所有车辆,该事件为未达4级事件。",
85,14718,交通管制,2025-08-16 00:26:09,2025-08-16 01:52:55,1572.87,双向方向,,G5京昆高速（绵广段）,,金子山站入口封闭。,双向,-29937|-39126,-1674,-8440_0 -8440_1,:-29937_0_0 :-29937_0_1,2025-08-16 00:30:00,,258,金子山站 到 金子山站,【交通管制首报】2025/8/16 0:26:09，接江明芝报：因大雾雷雨天气，京昆高速绵广段金子山站至金子山站路段交通管制金子山站入口关闭，预计小时后解除。,
88,14738,交通事故,2025-08-16 13:20:18,2025-08-16 14:22:22,1733.4,成都至绵阳方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,德阳南站成都至绵阳方向关闭,上行,-38996,-9758,-5052_0,:-38996_0_0,2025-08-16 13:22:00,,209,,"【交通事故首报】2025/8/16 13:20:18,接杨国韬报：京昆高速成绵段成都至绵阳方向K1733+400发生一起面包车侧翻事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置德阳南站成都至绵阳方向关闭,该事件为未达4级事件。",
89,14996,交通管制,2025-08-20 23:26:36,2025-08-21 00:09:17,1685.63,双向方向,,G5京昆高速（绵广段）,,因大雨天气，绵阳南站入口广元方向封闭；绵阳站、绵阳北站入口封闭；科学城站、江油站入口成都方向封闭。,双向,-29722|-34923,-16326,-1848_0 -5554_0 -5554_1,:-29722_0_0 :-29722_1_0 :-29722_1_1,2025-08-20 23:26:00,2025-08-21 00:09:00,"225,236,243,244",绵阳南站 到 江油站,【交通管制首报】2025/8/20 23:26:36，接张欢报：因大雾雷雨天气，京昆高速绵广段绵阳南站至江油站路段交通管制科学城站，绵阳北站，绵阳站，绵阳南站入口关闭，预计小时后解除。,
98,15556,交通事故,2025-08-27 13:49:51,2025-08-27 14:37:40,1777.3,绵阳至成都方向,第二车道,G5京昆高速（成绵段）,暂无人员伤亡,新都、新都北站入口绵阳至成都方向禁止通行,下行,-36514,-3000000327,-15336_0 -15336_1 -15336_2,:-36514_0_0 :-36514_0_1 :-36514_0_2,2025-08-27 13:50:00,,"601,202",,"【交通事故首报】2025/8/27 13:49:51,接黄欢报：京昆高速成绵段绵阳至成都方向K1777+300发生一起两货车追尾事故，占用第二车道，目前无人员伤亡，已通知高速交警,路维到场处置新都、新都北站入口绵阳至成都方向禁止通行,该事件为未达4级事件。",
101,15698,交通管制,2025-08-28 22:50:27,2025-08-28 23:15:03,1664.84,双向方向,,G5京昆高速（绵广段）,,因大雨天气，现科学城站入口广元方向，江油站、贯山站入口，江油北站入口成都方向封闭。,双向,-32257|-45176,-12610,-2610_0,:-32257_0_0,2025-08-28 22:51:00,,"249,247,246,244",科学城站 到 江油北站,"【交通管制首报】2025/8/28 22:50:27，接杨娇报：因大雾雷雨天气，京昆高速绵广段科学城站至江油北站路段交通管制江油北站，贯山站，江油站，科学城站入口关闭,预计2小时后解除。",
102,15723,交通事故,2025-08-29 04:47:41,2025-08-29 06:01:09,1737.9,绵阳至成都方向,"应急车道,第一车道",G5京昆高速（成绵段）,暂无人员伤亡,,下行,-38732,-8698,-4950_0 -8698_0 -8698_1 -8698_2 -8698_3,:-38732_0_0 :-38732_0_1 :-38732_2_0 :-38732_2_1 :-38732_2_2 :-38732_2_3,2025-08-29 04:48:00,2025-08-29 06:01:00,"210,211,212,213,214,209",,"【交通事故首报】2025/8/29 4:47:41,接李芳报：京昆高速成绵段绵阳至成都方向K1737+900发生一起两货车追尾事故，占用应急车道,第一车道，目前无人员伤亡，已通知高速交警,路维,急救到场处置,该事件为未达4级事件。",
103,15732,交通事故,2025-08-29 12:58:12,2025-08-29 13:52:52,1706.4,成都至绵阳方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,德阳至白马关站入口成都至绵阳方向,上行,-44436,-630,,,2025-08-29 12:59:00,,"211,210,212",,"【交通事故首报】2025/8/29 12:58:12,接黄欢报：京昆高速成绵段成都至绵阳方向K1706+400发生一起三车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,路维到场处置德阳至白马关站入口成都至绵阳方向,该事件为未达4级事件。",
114,15853,交通事故,2025-09-03 17:12:56,2025-09-03 20:01:55,1760.7,成都至绵阳方向,"第一车道,应急车道",G5京昆高速（成绵段）,暂无人员伤亡,入口管制,上行,3976561392,-9222,-3000000332_0 -3000000002_0 -3000000002_1,:3976561392_0_0 :3976561392_1_0 :3976561392_1_1,2025-09-03 17:14:00,2025-09-03 20:02:00,"601,202,206",,"【交通事故首报】2025/9/3 17:12:56,接李芳报：京昆高速成绵段成都至绵阳方向K1760+700发生一起货车侧翻事故，占用第一车道,应急车道，目前无人员伤亡，已通知高速交警,路维到场处置入口管制,该事件为未达4级事件。",
115,15939,交通管制,2025-09-05 10:27:10,2025-09-05 11:04:38,1669.23,双向方向,,G5京昆高速（绵广段）,,绵阳北站入口广元方向封闭、科学城站入口封闭、江油站入口成都方向封闭。,双向,-41368|-31681,-7944,-5894_0,:-41368_0_0,2025-09-05 10:27:00,,"243,244,246",绵阳北站 到 江油站,"【交通管制首报】2025/9/5 10:27:10，接姚娟报：因大雾雷雨天气，京昆高速绵广段绵阳北站至江油站路段交通管制江油站入口成都方向，科学城站入口，绵阳北站入口广元 方向关闭，,预计小时后解除。",
116,15945,交通管制,2025-09-05 10:56:50,2025-09-05 17:12:13,1770.4,双向方向,,G5京昆高速（成绵段）,,关闭新都至广汉站入口,双向,3426565849|5949103158,-12656,-3000000128_0 -3000000128_1,:3426565849_0_0 :3426565849_0_1,2025-09-05 10:57:00,,"202,206,208,601",新都站 到 广汉站,"【交通管制首报】2025/9/5 10:56:50，接杨国韬报：因大雾雷雨天气，京昆高速成绵段新都站至广汉站路段交通管制新都北站，广汉站，青白江，新都站入口关闭，,预计2小时后解除。",
120,16093,交通事故,2025-09-06 11:25:51,2025-09-06 12:29:10,1753.5,绵阳至成都方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,德阳南、广汉北站入口（绵阳至成都方向）,下行,-46848,-15362,-15362_0 -15362_1 -15362_2 -15362_3,:-46848_0_0 :-46848_0_1 :-46848_0_2 :-46848_0_3,2025-09-06 11:26:00,,"209,215",,"【交通事故首报】2025/9/6 11:25:51,接黄欢报：京昆高速成绵段绵阳至成都方向K1753+500发生一起五车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,路维到场处置德阳南、广汉北站入口（绵阳至成都方向）,该事件为未达4级事件。",
124,16126,交通事故,2025-09-08 06:28:25,2025-09-08 13:54:32,1575.0,广元至绵阳方向,"第一车道,第二车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡上行方向交通阻断，下行方向交通阻断,,下行,-45627,-3898,-7526_0 -7526_1,:-45627_0_0 :-45627_0_1,2025-09-08 06:50:00,,"258,256,255,250,249,247,246,244,243,236,225",,"【交通事故首报】2025/9/8 6:28:25,接罗海燕报：京昆高速绵广段广元至绵阳方向K1575+000发生一起两货车追尾事故，占用第一车道,第二车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
125,16131,交通事故,2025-09-08 07:36:57,2025-09-08 08:20:52,1782.0,纳溪至贵州方向,第一车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,入口往贵州方向关闭。,上行,3538967798,-3000000121,-3000000063_0 -3000000063_1,:3538967798_0_0 :3538967798_0_1,2025-09-08 07:32:00,2025-09-08 08:20:00,553,,"【交通事故首报】2025/9/8 7:36:57,接刘璐报：厦蓉高速纳黔段纳溪至贵州方向K1782+000发生一起小车单车事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置入口往贵州方向关闭。,该事件为未达4级事件。",
128,16152,交通事故,2025-09-08 16:53:43,2025-09-08 19:30:44,1639.0,广元至绵阳方向,"第一车道,第二车道",G5京昆高速（绵广段）,暂无人员伤亡,,下行,J177,-16112,E58_0 E58_1,:J177_0_0 :J177_0_1,2025-09-08 17:22:00,,",249,250,255",,"【交通事故首报】2025/9/8 16:53:43,接何勇报：京昆高速绵广段广元至绵阳方向K1639+000发生一起多车追尾事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
129,16161,交通事故,2025-09-09 06:46:06,2025-09-09 13:13:53,1777.4,绵阳至成都方向,"第一车道,第二车道",G5京昆高速（成绵段）,暂无人员伤亡,,下行,4598078126,-3000000327,-3000000084_0 -3000000084_1,:4598078126_0_0 :4598078126_0_1,2025-09-09 07:03:00,,",601,202,208,206",,"【交通事故首报】2025/9/9 6:46:06,接李芳报：京昆高速成绵段绵阳至成都方向K1777+400发生一起三车追尾事故，占用第一车道,第二车道，目前无人员伤亡，已通知路维到场处置,该事件为未达4级事件。",
