gantry_id,interval_start,total_flow,k1,k2,k3,k4,h1,h2,h3,h4,h5,h6
G000551005000210010,490,266,253,1,1,0,9,1,1,0,0,0
G000551005000210010,495,271,254,1,1,3,9,1,2,0,0,0
G000551005000210010,500,264,241,4,6,1,12,0,0,0,0,0
G000551005000210010,505,268,249,1,6,2,10,0,0,0,0,0
G000551005000210010,510,279,261,3,5,0,8,0,1,0,0,1
G000551005000210010,515,255,240,1,7,2,5,0,0,0,0,0
G000551005000210010,520,204,194,0,1,5,4,0,0,0,0,0
G000551005000210010,525,251,235,0,4,1,10,0,0,1,0,0
G000551005000210010,530,280,267,0,3,0,9,0,1,0,0,0
G000551005000210010,535,222,201,3,5,2,10,0,1,0,0,0
G000551005000220010,480,307,282,0,0,1,19,2,3,0,0,0
G000551005000220010,485,363,336,0,0,1,22,1,1,2,0,0
G000551005000220010,490,322,302,0,0,1,16,2,1,0,0,0
G000551005000220010,495,352,326,0,2,1,21,2,0,0,0,0
G000551005000220010,500,332,308,0,1,0,16,3,2,2,0,0
G000551005000220010,505,319,292,0,4,0,20,1,2,0,0,0
G000551005000220010,510,350,330,1,0,1,17,0,0,1,0,0
G000551005000220010,515,283,251,0,1,1,22,2,5,1,0,0
G000551005000220010,520,274,252,0,0,1,19,2,0,0,0,0
G000551005000220010,525,264,211,1,0,1,30,8,12,1,0,0
G000551005000220010,530,313,261,0,0,0,23,12,14,3,0,0
G000551005000220010,535,348,277,0,1,1,41,9,13,3,1,2
G000551005000310010,480,215,197,1,1,1,12,2,1,0,0,0
G000551005000310010,485,256,233,3,7,1,11,0,1,0,0,0
G000551005000310010,490,210,188,1,4,2,13,2,0,0,0,0
G000551005000310010,495,213,197,0,2,0,8,5,1,0,0,0
G000551005000310010,500,204,178,1,3,3,14,4,1,0,0,0
G000551005000310010,505,187,163,3,5,3,7,5,1,0,0,0
G000551005000310010,510,208,185,3,8,0,10,1,1,0,0,0
G000551005000310010,515,259,238,3,3,0,8,3,3,0,0,1
G000551005000310010,520,184,161,1,3,4,13,2,0,0,0,0
G000551005000310010,525,225,197,0,0,6,13,6,3,0,0,0
G000551005000310010,530,210,188,0,5,1,10,2,2,2,0,0
G000551005000310010,535,226,208,0,2,0,12,2,2,0,0,0
G000551005000320010,480,230,202,0,0,0,17,6,3,1,1,0
G000551005000320010,485,273,250,0,1,0,13,6,2,1,0,0
G000551005000320010,490,254,240,0,0,1,6,4,3,0,0,0
G000551005000320010,495,223,207,0,2,1,9,2,2,0,0,0
G000551005000320010,500,242,216,0,2,0,17,3,4,0,0,0
G000551005000320010,505,230,211,1,2,1,9,3,2,1,0,0
G000551005000320010,510,210,187,0,1,1,10,4,5,1,0,1
G000551005000320010,515,218,190,0,0,1,21,4,1,1,0,0
G000551005000320010,520,213,177,1,0,0,18,10,7,0,0,0
G000551005000320010,525,178,136,0,0,1,17,14,7,1,0,2
G000551005000320010,530,215,172,0,0,0,18,10,11,2,1,1
G000551005000320010,535,216,165,0,1,1,23,9,14,2,0,1
G000551005000410010,480,290,251,0,6,1,18,4,10,0,0,0
G000551005000410010,485,289,260,1,5,0,13,5,3,0,0,2
G000551005000410010,490,310,277,2,5,0,17,6,3,0,0,0
G000551005000410010,495,269,241,2,7,2,10,4,3,0,0,0
G000551005000410010,500,265,228,0,2,0,22,9,2,0,1,1
G000551005000410010,505,263,235,1,1,3,10,5,7,0,0,1
G000551005000410010,510,253,212,3,7,1,20,6,3,0,1,0
G000551005000410010,515,266,238,3,4,2,11,7,1,0,0,0
G000551005000410010,520,286,247,3,6,0,16,5,8,0,1,0
G000551005000410010,525,287,248,2,4,4,17,7,3,0,1,1
G000551005000410010,530,221,191,0,1,4,14,8,1,1,0,1
